Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,CloudBurst Today,CloudBurstTomorrow,CloudBurstTodayBinary
05-12-2008,Albury,17.5,32.3,1.0,6.047000000000001,,W,41.0,ENE,NW,7.0,20.0,82.0,33.0,1010.8,1006.0,70.0,80.0,17.8,29.7,No,No,0.0
12-12-2008,Albury,15.9,21.7,2.2,4.459000000000002,,NNE,31.0,NE,ENE,15.0,13.0,89.0,91.0,1010.5,1004.2,80.0,80.0,15.9,17.0,Yes,Yes,1.0
13-12-2008,Albury,15.9,18.6,15.6,3.8219999999999987,,W,61.0,NNW,NNW,28.0,28.0,76.0,93.0,994.3,993.0,80.0,80.0,17.4,15.8,Yes,Yes,1.0
17-12-2008,Albury,14.1,20.9,0.0,5.642000000000001,,ENE,22.0,SSW,E,11.0,9.0,69.0,82.0,1012.2,1010.4,80.0,10.0,17.2,18.1,No,Yes,0.0
18-12-2008,Albury,13.5,22.9,16.8,4.095,,W,63.0,N,WNW,6.0,20.0,80.0,65.0,1005.8,1002.2,80.0,10.0,18.0,21.5,Yes,Yes,1.0
30-12-2008,Albury,12.5,24.2,1.2,2.967000000000001,,WNW,50.0,WSW,SW,11.0,22.0,78.0,70.0,1005.6,1003.4,80.0,80.0,12.5,18.2,Yes,No,1.0
22-01-2009,Albury,24.4,34.0,0.6,8.792000000000002,,NW,98.0,N,NNW,26.0,48.0,60.0,39.0,1005.3,997.8,40.0,10.0,26.1,33.1,No,Yes,0.0
09-02-2009,Albury,18.4,31.2,0.4,7.585999999999999,,SE,37.0,SW,WSW,7.0,11.0,66.0,31.0,1009.3,1007.8,70.0,80.0,18.7,29.4,No,No,0.0
12-02-2009,Albury,16.1,21.6,0.0,5.012999999999999,,SE,46.0,SSE,NE,11.0,15.0,58.0,69.0,1017.0,1017.3,20.0,80.0,17.0,17.3,No,Yes,0.0
24-02-2009,Albury,12.9,29.6,0.0,9.642,,WNW,46.0,SW,WNW,7.0,24.0,54.0,14.0,1014.0,1012.7,60.0,70.0,18.7,28.6,No,No,0.0
25-02-2009,Albury,8.9,31.9,0.0,10.398000000000003,,WNW,43.0,N,WSW,0.0,17.0,49.0,16.0,1016.6,1013.4,70.0,70.0,15.0,29.3,No,No,0.0
22-03-2009,Albury,14.6,30.0,0.0,7.24,,NE,37.0,E,NNE,4.0,19.0,56.0,30.0,1014.8,1012.7,30.0,10.0,18.1,29.0,No,No,0.0
