Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,CloudBurst Today,CloudBurstTomorrow,CloudBurstTodayBinary
05-12-2008,Albury,17.5,32.3,1.0,,,W,41.0,ENE,NW,7.0,20.0,82.0,33.0,1010.8,1006.0,70.0,80.0,17.8,29.7,No,No,0.0
12-12-2008,Albury,15.9,21.7,2.2,,,NNE,31.0,NE,ENE,15.0,13.0,89.0,91.0,1010.5,1004.2,80.0,80.0,15.9,17.0,Yes,Yes,1.0
13-12-2008,Albury,15.9,18.6,15.6,,,W,61.0,NNW,NNW,28.0,28.0,76.0,93.0,994.3,993.0,80.0,80.0,17.4,15.8,Yes,Yes,1.0
17-12-2008,Albury,14.1,20.9,0.0,,,ENE,22.0,SSW,E,11.0,9.0,69.0,82.0,1012.2,1010.4,80.0,10.0,17.2,18.1,No,Yes,0.0
18-12-2008,Albury,13.5,22.9,16.8,,,W,63.0,N,WNW,6.0,20.0,80.0,65.0,1005.8,1002.2,80.0,10.0,18.0,21.5,Yes,Yes,1.0
30-12-2008,Albury,12.5,24.2,1.2,,,WNW,50.0,WSW,SW,11.0,22.0,78.0,70.0,1005.6,1003.4,80.0,80.0,12.5,18.2,Yes,No,1.0
22-01-2009,Albury,24.4,34.0,0.6,,,NW,98.0,N,NNW,26.0,48.0,60.0,39.0,1005.3,997.8,40.0,10.0,26.1,33.1,No,Yes,0.0
09-02-2009,Albury,18.4,31.2,0.4,,,SE,37.0,SW,WSW,7.0,11.0,66.0,31.0,1009.3,1007.8,70.0,80.0,18.7,29.4,No,No,0.0
12-02-2009,Albury,16.1,21.6,0.0,,,SE,46.0,SSE,NE,11.0,15.0,58.0,69.0,1017.0,1017.3,20.0,80.0,17.0,17.3,No,Yes,0.0
24-02-2009,Albury,12.9,29.6,0.0,,,WNW,46.0,SW,WNW,7.0,24.0,54.0,14.0,1014.0,1012.7,60.0,70.0,18.7,28.6,No,No,0.0
25-02-2009,Albury,8.9,31.9,0.0,,,WNW,43.0,N,WSW,0.0,17.0,49.0,16.0,1016.6,1013.4,70.0,70.0,15.0,29.3,No,No,0.0
22-03-2009,Albury,14.6,30.0,0.0,,,NE,37.0,E,NNE,4.0,19.0,56.0,30.0,1014.8,1012.7,30.0,10.0,18.1,29.0,No,No,0.0
25-03-2009,Albury,15.4,22.3,0.4,,,ENE,30.0,SSE,SSE,11.0,9.0,69.0,78.0,1017.4,1019.2,80.0,80.0,18.3,19.6,No,Yes,0.0
03-04-2009,Albury,18.4,28.1,8.6,,,W,98.0,E,NNE,7.0,17.0,92.0,49.0,1018.8,1012.9,80.0,60.0,19.0,27.4,Yes,Yes,1.0
10-04-2009,Albury,11.6,26.7,0.0,,,W,48.0,SE,NE,6.0,11.0,59.0,42.0,1021.5,1017.7,80.0,70.0,16.4,24.3,No,Yes,0.0
11-04-2009,Albury,13.0,24.9,8.4,,,W,46.0,S,E,6.0,11.0,75.0,47.0,1024.4,1020.3,80.0,60.0,18.0,24.4,Yes,Yes,1.0
17-04-2009,Albury,6.6,21.6,0.0,,,WNW,26.0,ENE,W,6.0,11.0,59.0,39.0,1018.5,1016.8,50.0,10.0,12.6,21.6,No,No,0.0
24-04-2009,Albury,10.6,16.2,0.0,,,WNW,39.0,ESE,NNE,7.0,4.0,74.0,86.0,1008.9,1002.4,80.0,80.0,14.9,15.1,No,Yes,0.0
25-04-2009,Albury,12.9,15.8,20.0,,,W,70.0,WNW,NNW,19.0,15.0,83.0,89.0,1004.8,1000.9,80.0,80.0,13.3,14.5,Yes,Yes,1.0
26-04-2009,Albury,8.6,12.9,21.0,,,NNW,63.0,NW,WNW,26.0,31.0,77.0,62.0,1004.0,1003.3,80.0,80.0,9.5,11.6,Yes,Yes,1.0
27-04-2009,Albury,4.5,11.5,3.2,,,NW,26.0,N,NNW,9.0,13.0,82.0,79.0,1013.8,1013.5,80.0,80.0,7.6,9.4,Yes,Yes,1.0
28-04-2009,Albury,7.6,14.5,4.8,,,WNW,35.0,W,W,15.0,20.0,83.0,48.0,1018.0,1018.3,80.0,10.0,10.1,14.0,Yes,No,1.0
02-05-2009,Albury,7.2,19.2,0.0,,,SW,22.0,ENE,W,7.0,6.0,81.0,49.0,1026.9,1024.0,80.0,40.0,10.1,19.1,No,No,0.0
14-05-2009,Albury,6.9,16.3,0.0,,,WNW,35.0,WNW,WNW,17.0,19.0,77.0,59.0,1015.3,1013.1,80.0,80.0,10.3,15.3,No,No,0.0
15-05-2009,Albury,10.3,16.6,0.0,,,WNW,54.0,NW,NW,13.0,19.0,82.0,63.0,1015.0,1011.0,80.0,70.0,12.9,15.9,No,Yes,0.0
16-05-2009,Albury,12.4,16.4,1.8,,,W,52.0,W,WSW,22.0,24.0,82.0,54.0,1011.8,1013.4,80.0,80.0,13.0,14.5,Yes,No,1.0
20-05-2009,Albury,5.1,18.6,0.0,,,E,13.0,SSE,ENE,2.0,9.0,75.0,57.0,1022.8,1020.5,70.0,70.0,12.4,18.0,No,No,0.0
25-05-2009,Albury,9.3,20.3,0.0,,,NE,31.0,SE,NE,9.0,22.0,77.0,50.0,1024.6,1019.7,20.0,80.0,11.6,19.5,No,Yes,0.0
26-05-2009,Albury,11.6,18.1,4.2,,,E,19.0,E,SSE,2.0,6.0,97.0,74.0,1021.4,1019.2,80.0,30.0,13.6,17.4,Yes,No,1.0
01-06-2009,Albury,8.0,14.3,1.2,,,SE,13.0,N,SE,0.0,0.0,88.0,75.0,1031.9,1029.2,80.0,80.0,9.2,14.0,Yes,Yes,1.0
02-06-2009,Albury,8.4,13.4,1.4,,,SE,13.0,N,ESE,0.0,7.0,78.0,75.0,1029.3,1026.2,80.0,80.0,10.6,13.4,Yes,Yes,1.0
03-06-2009,Albury,10.6,14.3,4.8,,,SE,13.0,ENE,SE,6.0,9.0,85.0,97.0,1023.5,1020.4,80.0,80.0,12.4,13.0,Yes,Yes,1.0
04-06-2009,Albury,8.9,17.4,8.0,,,ENE,13.0,NW,E,2.0,4.0,99.0,58.0,1021.0,1017.5,80.0,70.0,11.3,16.5,Yes,No,1.0
06-06-2009,Albury,1.7,10.5,0.2,,,ESE,11.0,E,SE,4.0,0.0,99.0,91.0,1015.2,1011.1,80.0,80.0,4.7,10.2,No,Yes,0.0
