Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,CloudBurst Today,CloudBurstTomorrow,CloudBurstTodayBinary,WindDir9am_sin,WindDir9am_cos,WindDir3pm_sin,WindDir3pm_cos
05-12-2008,Albury,17.5,32.3,1,6.047,,W,41,7,20,82,33,1010.8,1006,70,80,17.8,29.7,No,No,0,0.923879533,0.382683432,-0.707106781,0.707106781
12-12-2008,Albury,15.9,21.7,2.2,4.459,,NNE,31,15,13,89,91,1010.5,1004.2,80,80,15.9,17,Yes,Yes,1,0.707106781,0.707106781,0.923879533,0.382683432
13-12-2008,Albury,15.9,18.6,15.6,3.822,,W,61,28,28,76,93,994.3,993,80,80,17.4,15.8,Yes,Yes,1,-0.382683432,0.923879533,-0.382683432,0.923879533
17-12-2008,Albury,14.1,20.9,0,5.642,,ENE,22,11,9,69,82,1012.2,1010.4,80,10,17.2,18.1,No,Yes,0,-0.382683432,-0.923879533,1,6.12E-17
18-12-2008,Albury,13.5,22.9,16.8,4.095,,W,63,6,20,80,65,1005.8,1002.2,80,10,18,21.5,Yes,Yes,1,0,1,-0.923879533,0.382683432
30-12-2008,Albury,12.5,24.2,1.2,2.967,,WNW,50,11,22,78,70,1005.6,1003.4,80,80,12.5,18.2,Yes,No,1,-0.923879533,-0.382683432,-0.707106781,-0.707106781
22-01-2009,Albury,24.4,34,0.6,8.792,,NW,98,26,48,60,39,1005.3,997.8,40,10,26.1,33.1,No,Yes,0,0,1,-0.382683432,0.923879533
09-02-2009,Albury,18.4,31.2,0.4,7.586,,SE,37,7,11,66,31,1009.3,1007.8,70,80,18.7,29.4,No,No,0,-0.707106781,-0.707106781,-0.923879533,-0.382683432
12-02-2009,Albury,16.1,21.6,0,5.013,,SE,46,11,15,58,69,1017,1017.3,20,80,17,17.3,No,Yes,0,0.382683432,-0.923879533,0.707106781,0.707106781
24-02-2009,Albury,12.9,29.6,0,9.642,,WNW,46,7,24,54,14,1014,1012.7,60,70,18.7,28.6,No,No,0,-0.707106781,-0.707106781,-0.923879533,0.382683432
25-02-2009,Albury,8.9,31.9,0,10.398,,WNW,43,0,17,49,16,1016.6,1013.4,70,70,15,29.3,No,No,0,0,1,-0.923879533,-0.382683432
22-03-2009,Albury,14.6,30,0,7.24,,NE,37,4,19,56,30,1014.8,1012.7,30,10,18.1,29,No,No,0,1,6.12E-17,0.382683432,0.923879533
25-03-2009,Albury,15.4,22.3,0.4,5.641,,ENE,30,11,9,69,78,1017.4,1019.2,80,80,18.3,19.6,No,Yes,0,0.382683432,-0.923879533,0.382683432,-0.923879533
03-04-2009,Albury,18.4,28.1,8.6,4.878,,W,98,7,17,92,49,1018.8,1012.9,80,60,19,27.4,Yes,Yes,1,1,6.12E-17,0.382683432,0.923879533
10-04-2009,Albury,11.6,26.7,0,5.546,,W,48,6,11,59,42,1021.5,1017.7,80,70,16.4,24.3,No,Yes,0,0.707106781,-0.707106781,0.707106781,0.707106781
11-04-2009,Albury,13,24.9,8.4,5.555,,W,46,6,11,75,47,1024.4,1020.3,80,60,18,24.4,Yes,Yes,1,1.22E-16,-1,1,6.12E-17
17-04-2009,Albury,6.6,21.6,0,3.705,,WNW,26,6,11,59,39,1018.5,1016.8,50,10,12.6,21.6,No,No,0,0.923879533,0.382683432,-1,-1.84E-16
24-04-2009,Albury,10.6,16.2,0,3.746,,WNW,39,7,4,74,86,1008.9,1002.4,80,80,14.9,15.1,No,Yes,0,0.923879533,-0.382683432,0.382683432,0.923879533
25-04-2009,Albury,12.9,15.8,20,2.932,,W,70,19,15,83,89,1004.8,1000.9,80,80,13.3,14.5,Yes,Yes,1,-0.923879533,0.382683432,-0.382683432,0.923879533
26-04-2009,Albury,8.6,12.9,21,3.071,,NNW,63,26,31,77,62,1004,1003.3,80,80,9.5,11.6,Yes,Yes,1,-0.707106781,0.707106781,-0.923879533,0.382683432
27-04-2009,Albury,4.5,11.5,3.2,2.296,,NW,26,9,13,82,79,1013.8,1013.5,80,80,7.6,9.4,Yes,Yes,1,0,1,-0.382683432,0.923879533
28-04-2009,Albury,7.6,14.5,4.8,3.195,,WNW,35,15,20,83,48,1018,1018.3,80,10,10.1,14,Yes,No,1,-1,-1.84E-16,-1,-1.84E-16
02-05-2009,Albury,7.2,19.2,0,2.631,,SW,22,7,6,81,49,1026.9,1024,80,40,10.1,19.1,No,No,0,0.923879533,0.382683432,-1,-1.84E-16
14-05-2009,Albury,6.9,16.3,0,3,,WNW,35,17,19,77,59,1015.3,1013.1,80,80,10.3,15.3,No,No,0,-0.923879533,0.382683432,-0.923879533,0.382683432
